param,value,unit,lower,upper,city,latitude,longitude
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",32.86,€,20,50,Nuoro,40.263970549999996,9.12722009781746
1 Pair of Nike Running Shoes (Mid-Range),81.25,€,40,130,Nuoro,40.263970549999996,9.12722009781746
1 Pair of Men Leather Business Shoes,101.8,€,50,200,Nuoro,40.263970549999996,9.12722009781746
Apartment (1 bedroom) in City Centre,400.0,€,,,Nuoro,40.263970549999996,9.12722009781746
Apartment (1 bedroom) Outside of Centre,350.0,€,,,Nuoro,40.263970549999996,9.12722009781746
Apartment (3 bedrooms) in City Centre,600.0,€,,,Nuoro,40.263970549999996,9.12722009781746
Apartment (3 bedrooms) Outside of Centre,500.0,€,,,Nuoro,40.263970549999996,9.12722009781746
Average Monthly Net Salary (After Tax),1333.33,€,,,Nuoro,40.263970549999996,9.12722009781746
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.4,,2.2,4.9,Nuoro,40.263970549999996,9.12722009781746
"Meal, Inexpensive Restaurant",12.0,€,10,25,Noventa di Piave,45.6618875,12.5299422
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,45,110,Noventa di Piave,45.6618875,12.5299422
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,7.99,10,Noventa di Piave,45.6618875,12.5299422
Domestic Beer (1 pint draught),5.0,€,3,6.5,Noventa di Piave,45.6618875,12.5299422
Imported Beer (12 oz small bottle),4.0,€,3,6,Noventa di Piave,45.6618875,12.5299422
Cappuccino (regular),1.53,€,1.1,2,Noventa di Piave,45.6618875,12.5299422
Coke/Pepsi (12 oz small bottle),2.5,€,2,3.5,Noventa di Piave,45.6618875,12.5299422
Water (12 oz small bottle),1.31,€,1,2.5,Noventa di Piave,45.6618875,12.5299422
"Milk (regular), (1 gallon)",6.06,€,3.71,6.06,Noventa di Piave,45.6618875,12.5299422
Loaf of Fresh White Bread (1 lb),1.94,€,0.91,4.54,Noventa di Piave,45.6618875,12.5299422
"Rice (white), (1 lb)",0.82,€,0.45,1.81,Noventa di Piave,45.6618875,12.5299422
Eggs (regular) (12),3.34,€,1.74,5,Noventa di Piave,45.6618875,12.5299422
Local Cheese (1 lb),4.9,€,3.58,6.8,Noventa di Piave,45.6618875,12.5299422
Chicken Fillets (1 lb),4.15,€,3.18,5.9,Noventa di Piave,45.6618875,12.5299422
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),7.55,€,4.49,13.61,Noventa di Piave,45.6618875,12.5299422
Apples (1 lb),0.73,€,0.45,1.13,Noventa di Piave,45.6618875,12.5299422
Banana (1 lb),0.82,€,0.45,1.36,Noventa di Piave,45.6618875,12.5299422
Oranges (1 lb),0.79,€,0.45,1.36,Noventa di Piave,45.6618875,12.5299422
Tomato (1 lb),1.16,€,0.36,2.27,Noventa di Piave,45.6618875,12.5299422
Potato (1 lb),0.54,€,0.36,0.9,Noventa di Piave,45.6618875,12.5299422
Onion (1 lb),0.53,€,0.45,1.81,Noventa di Piave,45.6618875,12.5299422
Lettuce (1 head),0.88,€,0.5,3,Noventa di Piave,45.6618875,12.5299422
Water (1.5 liter bottle),0.47,€,0.2,1.5,Noventa di Piave,45.6618875,12.5299422
Bottle of Wine (Mid-Range),5.0,€,4.5,10,Noventa di Piave,45.6618875,12.5299422
Domestic Beer (0.5 liter bottle),1.32,€,1,3,Noventa di Piave,45.6618875,12.5299422
Imported Beer (12 oz small bottle),2.0,€,1,3.5,Noventa di Piave,45.6618875,12.5299422
Cigarettes 20 Pack (Marlboro),5.8,€,5,6,Noventa di Piave,45.6618875,12.5299422
Taxi Start (Normal Tariff),8.0,€,7,10,Noventa di Piave,45.6618875,12.5299422
Taxi 1 mile (Normal Tariff),1.61,€,1.61,3.22,Noventa di Piave,45.6618875,12.5299422
Taxi 1hour Waiting (Normal Tariff),25.0,€,25,50,Noventa di Piave,45.6618875,12.5299422
Gasoline (1 gallon),7.22,€,6.44,8.3,Noventa di Piave,45.6618875,12.5299422
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),24625.0,€,"20,000.00","29,750.00",Noventa di Piave,45.6618875,12.5299422
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),27092.5,€,"25,685.00","30,000.00",Noventa di Piave,45.6618875,12.5299422
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",167.5,€,124.67,425,Noventa di Piave,45.6618875,12.5299422
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Noventa di Piave,45.6618875,12.5299422
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",29.14,€,24,40,Noventa di Piave,45.6618875,12.5299422
"Cinema, International Release, 1 Seat",9.5,€,8.5,14,Noventa di Piave,45.6618875,12.5299422
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",440.0,€,250,650,Noventa di Piave,45.6618875,12.5299422
"International Primary School, Yearly for 1 Child",5000.0,€,"5,000.00","12,000.00",Noventa di Piave,45.6618875,12.5299422
1 Pair of Jeans (Levis 501 Or Similar),65.0,€,30,150,Noventa di Piave,45.6618875,12.5299422
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.33,€,29,90,Noventa di Piave,45.6618875,12.5299422
1 Pair of Nike Running Shoes (Mid-Range),85.0,€,50,100,Noventa di Piave,45.6618875,12.5299422
1 Pair of Men Leather Business Shoes,112.0,€,50,300,Noventa di Piave,45.6618875,12.5299422
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.18,,1.5,4.9,Noventa di Piave,45.6618875,12.5299422
"Meal, Inexpensive Restaurant",15.0,€,8,25,Novara,45.584250049999994,8.545996970894572
"Meal for 2 People, Mid-range Restaurant, Three-course",65.0,€,50,85,Novara,45.584250049999994,8.545996970894572
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,8,10,Novara,45.584250049999994,8.545996970894572
Domestic Beer (1 pint draught),5.0,€,3,6,Novara,45.584250049999994,8.545996970894572
Imported Beer (12 oz small bottle),4.5,€,4,5,Novara,45.584250049999994,8.545996970894572
Cappuccino (regular),1.61,€,1,2.5,Novara,45.584250049999994,8.545996970894572
Coke/Pepsi (12 oz small bottle),2.75,€,2.5,3.5,Novara,45.584250049999994,8.545996970894572
Water (12 oz small bottle),1.0,€,1,1.5,Novara,45.584250049999994,8.545996970894572
"Milk (regular), (1 gallon)",4.66,€,3.41,5.64,Novara,45.584250049999994,8.545996970894572
Loaf of Fresh White Bread (1 lb),1.54,€,0.73,2.27,Novara,45.584250049999994,8.545996970894572
"Rice (white), (1 lb)",1.54,€,1.13,1.63,Novara,45.584250049999994,8.545996970894572
Eggs (regular) (12),2.77,€,2,3,Novara,45.584250049999994,8.545996970894572
Local Cheese (1 lb),5.1,€,1.81,5.44,Novara,45.584250049999994,8.545996970894572
Chicken Fillets (1 lb),3.1,€,2.72,4.54,Novara,45.584250049999994,8.545996970894572
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),5.73,€,3.18,6.8,Novara,45.584250049999994,8.545996970894572
Apples (1 lb),0.91,€,0.45,1.36,Novara,45.584250049999994,8.545996970894572
Banana (1 lb),0.79,€,0.45,1.41,Novara,45.584250049999994,8.545996970894572
Oranges (1 lb),1.13,€,0.45,1.13,Novara,45.584250049999994,8.545996970894572
Tomato (1 lb),0.98,€,0.45,1.36,Novara,45.584250049999994,8.545996970894572
Potato (1 lb),0.68,€,0.44,0.91,Novara,45.584250049999994,8.545996970894572
Onion (1 lb),0.77,€,0.45,0.91,Novara,45.584250049999994,8.545996970894572
Lettuce (1 head),1.0,€,1,1,Novara,45.584250049999994,8.545996970894572
Water (1.5 liter bottle),0.22,€,0.1,0.9,Novara,45.584250049999994,8.545996970894572
Bottle of Wine (Mid-Range),6.5,€,4,7.2,Novara,45.584250049999994,8.545996970894572
Domestic Beer (0.5 liter bottle),2.27,€,1.1,3,Novara,45.584250049999994,8.545996970894572
Imported Beer (12 oz small bottle),2.9,€,0.9,3.6,Novara,45.584250049999994,8.545996970894572
Cigarettes 20 Pack (Marlboro),6.1,€,5.6,7.8,Novara,45.584250049999994,8.545996970894572
One-way Ticket (Local Transport),1.5,€,1.5,1.5,Novara,45.584250049999994,8.545996970894572
Monthly Pass (Regular Price),35.0,€,35,35,Novara,45.584250049999994,8.545996970894572
Taxi Start (Normal Tariff),4.35,€,3.7,5,Novara,45.584250049999994,8.545996970894572
Taxi 1 mile (Normal Tariff),3.22,€,3.22,3.22,Novara,45.584250049999994,8.545996970894572
Taxi 1hour Waiting (Normal Tariff),50.0,€,50,50,Novara,45.584250049999994,8.545996970894572
Gasoline (1 gallon),7.04,€,6.44,8.3,Novara,45.584250049999994,8.545996970894572
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),26500.0,€,"23,000.00","27,000.00",Novara,45.584250049999994,8.545996970894572
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),18500.0,€,"15,000.00","27,000.00",Novara,45.584250049999994,8.545996970894572
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",146.09,€,118.26,170,Novara,45.584250049999994,8.545996970894572
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Novara,45.584250049999994,8.545996970894572
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",28.33,€,25,33,Novara,45.584250049999994,8.545996970894572
"Fitness Club, Monthly Fee for 1 Adult",57.22,€,25,70,Novara,45.584250049999994,8.545996970894572
Tennis Court Rent (1 Hour on Weekend),15.0,€,,,Novara,45.584250049999994,8.545996970894572
"Cinema, International Release, 1 Seat",9.5,€,8,12,Novara,45.584250049999994,8.545996970894572
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",500.0,€,240,800,Novara,45.584250049999994,8.545996970894572
"International Primary School, Yearly for 1 Child",12000.0,€,"12,000.00","12,000.00",Novara,45.584250049999994,8.545996970894572
1 Pair of Jeans (Levis 501 Or Similar),70.0,€,30,100,Novara,45.584250049999994,8.545996970894572
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",30.0,€,15,50,Novara,45.584250049999994,8.545996970894572
1 Pair of Nike Running Shoes (Mid-Range),76.67,€,50,100,Novara,45.584250049999994,8.545996970894572
1 Pair of Men Leather Business Shoes,96.67,€,50,140,Novara,45.584250049999994,8.545996970894572
Apartment (1 bedroom) in City Centre,620.0,€,590,650,Novara,45.584250049999994,8.545996970894572
Apartment (1 bedroom) Outside of Centre,440.0,€,400,480,Novara,45.584250049999994,8.545996970894572
Apartment (3 bedrooms) in City Centre,925.0,€,900,950,Novara,45.584250049999994,8.545996970894572
Apartment (3 bedrooms) Outside of Centre,700.0,€,,,Novara,45.584250049999994,8.545996970894572
Price per Square Feet to Buy Apartment in City Centre,246.19,€,232.26,260.13,Novara,45.584250049999994,8.545996970894572
Price per Square Feet to Buy Apartment Outside of Centre,148.64,€,139.35,157.93,Novara,45.584250049999994,8.545996970894572
Average Monthly Net Salary (After Tax),1800.0,€,,,Novara,45.584250049999994,8.545996970894572
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.92,,1.59,4.9,Novara,45.584250049999994,8.545996970894572
"Meal, Inexpensive Restaurant",15.0,€,9,20,Naples,40.8358846,14.2487679
"Meal for 2 People, Mid-range Restaurant, Three-course",50.0,€,35,70,Naples,40.8358846,14.2487679
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,7.8,9,Naples,40.8358846,14.2487679
Domestic Beer (1 pint draught),4.0,€,2.5,6,Naples,40.8358846,14.2487679
Imported Beer (12 oz small bottle),3.25,€,2.5,5,Naples,40.8358846,14.2487679
Cappuccino (regular),1.75,€,1,2.5,Naples,40.8358846,14.2487679
Coke/Pepsi (12 oz small bottle),1.71,€,1,2.5,Naples,40.8358846,14.2487679
Water (12 oz small bottle),1.0,€,1,1.5,Naples,40.8358846,14.2487679
"Milk (regular), (1 gallon)",5.14,€,3.79,6.81,Naples,40.8358846,14.2487679
Loaf of Fresh White Bread (1 lb),1.08,€,0.73,1.59,Naples,40.8358846,14.2487679
"Rice (white), (1 lb)",0.85,€,0.45,1.22,Naples,40.8358846,14.2487679
Eggs (regular) (12),3.0,€,2,5.6,Naples,40.8358846,14.2487679
Local Cheese (1 lb),5.15,€,4.08,6.35,Naples,40.8358846,14.2487679
Chicken Fillets (1 lb),3.83,€,2.72,4.54,Naples,40.8358846,14.2487679
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),5.57,€,2.72,6.8,Naples,40.8358846,14.2487679
Apples (1 lb),0.72,€,0.45,1.18,Naples,40.8358846,14.2487679
Banana (1 lb),0.78,€,0.54,1.13,Naples,40.8358846,14.2487679
Oranges (1 lb),0.73,€,0.45,1.13,Naples,40.8358846,14.2487679
Tomato (1 lb),1.21,€,0.91,1.63,Naples,40.8358846,14.2487679
Potato (1 lb),0.54,€,0.41,0.67,Naples,40.8358846,14.2487679
Onion (1 lb),0.59,€,0.45,1.36,Naples,40.8358846,14.2487679
Lettuce (1 head),0.91,€,0.5,1.5,Naples,40.8358846,14.2487679
Water (1.5 liter bottle),0.46,€,0.21,1,Naples,40.8358846,14.2487679
Bottle of Wine (Mid-Range),5.0,€,4,15,Naples,40.8358846,14.2487679
Domestic Beer (0.5 liter bottle),1.71,€,1.15,2.5,Naples,40.8358846,14.2487679
Imported Beer (12 oz small bottle),2.38,€,1.65,3,Naples,40.8358846,14.2487679
Cigarettes 20 Pack (Marlboro),6.0,€,5.2,6,Naples,40.8358846,14.2487679
One-way Ticket (Local Transport),1.3,€,1.1,1.6,Naples,40.8358846,14.2487679
Monthly Pass (Regular Price),35.0,€,35,60,Naples,40.8358846,14.2487679
Taxi Start (Normal Tariff),5.0,€,5,6,Naples,40.8358846,14.2487679
Taxi 1 mile (Normal Tariff),1.93,€,1.34,3.22,Naples,40.8358846,14.2487679
Taxi 1hour Waiting (Normal Tariff),18.0,€,15,40,Naples,40.8358846,14.2487679
Gasoline (1 gallon),7.43,€,6.44,8.3,Naples,40.8358846,14.2487679
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),25000.0,€,"23,000.00","26,000.00",Naples,40.8358846,14.2487679
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),24000.0,€,"25,000.00","27,000.00",Naples,40.8358846,14.2487679
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",188.52,€,140,255,Naples,40.8358846,14.2487679
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,10,14.99,Naples,40.8358846,14.2487679
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",28.27,€,25,40,Naples,40.8358846,14.2487679
"Fitness Club, Monthly Fee for 1 Adult",44.38,€,25,60,Naples,40.8358846,14.2487679
Tennis Court Rent (1 Hour on Weekend),18.17,€,14,30,Naples,40.8358846,14.2487679
"Cinema, International Release, 1 Seat",9.0,€,7.5,10,Naples,40.8358846,14.2487679
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",231.94,€,200,291.67,Naples,40.8358846,14.2487679
"International Primary School, Yearly for 1 Child",3850.0,€,"2,400.00","9,000.00",Naples,40.8358846,14.2487679
1 Pair of Jeans (Levis 501 Or Similar),70.42,€,40,105,Naples,40.8358846,14.2487679
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",29.5,€,15,40,Naples,40.8358846,14.2487679
1 Pair of Nike Running Shoes (Mid-Range),84.23,€,65,100,Naples,40.8358846,14.2487679
1 Pair of Men Leather Business Shoes,115.56,€,80,150,Naples,40.8358846,14.2487679
Apartment (1 bedroom) in City Centre,642.31,€,500,800,Naples,40.8358846,14.2487679
Apartment (1 bedroom) Outside of Centre,390.0,€,250,600,Naples,40.8358846,14.2487679
Apartment (3 bedrooms) in City Centre,1212.5,€,900,"1,500.00",Naples,40.8358846,14.2487679
Apartment (3 bedrooms) Outside of Centre,775.0,€,550,"1,100.00",Naples,40.8358846,14.2487679
Price per Square Feet to Buy Apartment in City Centre,378.24,€,278.71,557.41,Naples,40.8358846,14.2487679
Price per Square Feet to Buy Apartment Outside of Centre,182.09,€,139.35,232.26,Naples,40.8358846,14.2487679
Average Monthly Net Salary (After Tax),1347.62,€,,,Naples,40.8358846,14.2487679
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.9,,1.25,4.9,Naples,40.8358846,14.2487679
"Meal, Inexpensive Restaurant",15.0,€,,,Morgex,45.7580223,7.0354328
"Meal for 2 People, Mid-range Restaurant, Three-course",80.0,€,,,Morgex,45.7580223,7.0354328
Domestic Beer (1 pint draught),8.0,€,,,Morgex,45.7580223,7.0354328
Imported Beer (12 oz small bottle),3.0,€,,,Morgex,45.7580223,7.0354328
Cappuccino (regular),1.5,€,,,Morgex,45.7580223,7.0354328
Coke/Pepsi (12 oz small bottle),3.0,€,,,Morgex,45.7580223,7.0354328
Water (12 oz small bottle),2.0,€,,,Morgex,45.7580223,7.0354328
"Milk (regular), (1 gallon)",6.81,€,,,Morgex,45.7580223,7.0354328
Loaf of Fresh White Bread (1 lb),1.59,€,,,Morgex,45.7580223,7.0354328
"Rice (white), (1 lb)",1.27,€,,,Morgex,45.7580223,7.0354328
Eggs (regular) (12),3.6,€,,,Morgex,45.7580223,7.0354328
Local Cheese (1 lb),6.35,€,,,Morgex,45.7580223,7.0354328
Chicken Fillets (1 lb),6.8,€,,,Morgex,45.7580223,7.0354328
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),8.62,€,,,Morgex,45.7580223,7.0354328
Apples (1 lb),0.64,€,,,Morgex,45.7580223,7.0354328
Banana (1 lb),0.81,€,,,Morgex,45.7580223,7.0354328
Oranges (1 lb),0.86,€,,,Morgex,45.7580223,7.0354328
Tomato (1 lb),1.63,€,,,Morgex,45.7580223,7.0354328
Potato (1 lb),0.36,€,,,Morgex,45.7580223,7.0354328
Onion (1 lb),0.27,€,,,Morgex,45.7580223,7.0354328
Lettuce (1 head),0.4,€,,,Morgex,45.7580223,7.0354328
Water (1.5 liter bottle),0.22,€,,,Morgex,45.7580223,7.0354328
Bottle of Wine (Mid-Range),8.0,€,,,Morgex,45.7580223,7.0354328
Domestic Beer (0.5 liter bottle),1.2,€,,,Morgex,45.7580223,7.0354328
Imported Beer (12 oz small bottle),0.79,€,,,Morgex,45.7580223,7.0354328
Cigarettes 20 Pack (Marlboro),5.6,€,,,Morgex,45.7580223,7.0354328
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",420.0,€,,,Morgex,45.7580223,7.0354328
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",35.0,€,,,Morgex,45.7580223,7.0354328
Apartment (1 bedroom) in City Centre,300.0,€,,,Morgex,45.7580223,7.0354328
Apartment (1 bedroom) Outside of Centre,400.0,€,,,Morgex,45.7580223,7.0354328
Apartment (3 bedrooms) in City Centre,1000.0,€,,,Morgex,45.7580223,7.0354328
Apartment (3 bedrooms) Outside of Centre,1200.0,€,,,Morgex,45.7580223,7.0354328
Price per Square Feet to Buy Apartment in City Centre,264.21,€,,,Morgex,45.7580223,7.0354328
Price per Square Feet to Buy Apartment Outside of Centre,292.55,€,,,Morgex,45.7580223,7.0354328
Average Monthly Net Salary (After Tax),1358.0,€,,,Morgex,45.7580223,7.0354328
"Meal, Inexpensive Restaurant",16.5,€,10,25,Monza,45.639544,9.278869369225038
"Meal for 2 People, Mid-range Restaurant, Three-course",75.0,€,60,85,Monza,45.639544,9.278869369225038
McMeal at McDonalds (or Equivalent Combo Meal),10.0,€,9,12,Monza,45.639544,9.278869369225038
Domestic Beer (1 pint draught),4.75,€,3,6,Monza,45.639544,9.278869369225038
Imported Beer (12 oz small bottle),3.0,€,2.2,6,Monza,45.639544,9.278869369225038
Cappuccino (regular),1.48,€,1,2,Monza,45.639544,9.278869369225038
Coke/Pepsi (12 oz small bottle),2.0,€,1.5,3,Monza,45.639544,9.278869369225038
Water (12 oz small bottle),1.16,€,1,4,Monza,45.639544,9.278869369225038
"Milk (regular), (1 gallon)",5.18,€,3.79,6.62,Monza,45.639544,9.278869369225038
Loaf of Fresh White Bread (1 lb),1.77,€,1.36,2.27,Monza,45.639544,9.278869369225038
"Rice (white), (1 lb)",1.11,€,0.68,1.36,Monza,45.639544,9.278869369225038
Eggs (regular) (12),2.67,€,1.2,3.6,Monza,45.639544,9.278869369225038
Local Cheese (1 lb),5.88,€,4.08,13.61,Monza,45.639544,9.278869369225038
Chicken Fillets (1 lb),3.95,€,2.72,4.54,Monza,45.639544,9.278869369225038
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),7.7,€,6.8,9.03,Monza,45.639544,9.278869369225038
Apples (1 lb),1.03,€,0.45,1.36,Monza,45.639544,9.278869369225038
Banana (1 lb),0.65,€,0.45,0.86,Monza,45.639544,9.278869369225038
Oranges (1 lb),0.85,€,0.45,1.11,Monza,45.639544,9.278869369225038
Tomato (1 lb),1.07,€,0.45,1.72,Monza,45.639544,9.278869369225038
Potato (1 lb),0.47,€,0.23,0.5,Monza,45.639544,9.278869369225038
Onion (1 lb),0.62,€,0.45,0.91,Monza,45.639544,9.278869369225038
Lettuce (1 head),0.96,€,0.8,2.2,Monza,45.639544,9.278869369225038
Water (1.5 liter bottle),0.52,€,0.28,1,Monza,45.639544,9.278869369225038
Bottle of Wine (Mid-Range),5.45,€,3,8,Monza,45.639544,9.278869369225038
Domestic Beer (0.5 liter bottle),1.68,€,0.99,2,Monza,45.639544,9.278869369225038
Imported Beer (12 oz small bottle),2.22,€,1.5,2.6,Monza,45.639544,9.278869369225038
Cigarettes 20 Pack (Marlboro),6.0,€,5.5,6,Monza,45.639544,9.278869369225038
One-way Ticket (Local Transport),1.8,€,1.5,2.2,Monza,45.639544,9.278869369225038
Monthly Pass (Regular Price),45.0,€,40,51,Monza,45.639544,9.278869369225038
Taxi Start (Normal Tariff),5.0,€,3.3,10,Monza,45.639544,9.278869369225038
Taxi 1 mile (Normal Tariff),1.84,€,1.75,1.93,Monza,45.639544,9.278869369225038
Taxi 1hour Waiting (Normal Tariff),25.0,€,22.82,50,Monza,45.639544,9.278869369225038
Gasoline (1 gallon),7.63,€,6.62,8.3,Monza,45.639544,9.278869369225038
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),25000.0,€,"18,000.00","30,000.00",Monza,45.639544,9.278869369225038
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),27000.0,€,"25,000.00","28,000.00",Monza,45.639544,9.278869369225038
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",162.74,€,121.43,240,Monza,45.639544,9.278869369225038
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Monza,45.639544,9.278869369225038
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",27.15,€,25,29.9,Monza,45.639544,9.278869369225038
"Fitness Club, Monthly Fee for 1 Adult",40.8,€,20,150,Monza,45.639544,9.278869369225038
Tennis Court Rent (1 Hour on Weekend),22.2,€,20,26,Monza,45.639544,9.278869369225038
"Cinema, International Release, 1 Seat",11.25,€,8,18,Monza,45.639544,9.278869369225038
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",560.0,€,500,600,Monza,45.639544,9.278869369225038
"International Primary School, Yearly for 1 Child",10166.67,€,"6,000.00","12,500.00",Monza,45.639544,9.278869369225038
1 Pair of Jeans (Levis 501 Or Similar),76.67,€,70,90,Monza,45.639544,9.278869369225038
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",35.0,€,30,45,Monza,45.639544,9.278869369225038
1 Pair of Nike Running Shoes (Mid-Range),85.0,€,60,110,Monza,45.639544,9.278869369225038
1 Pair of Men Leather Business Shoes,113.33,€,60,150,Monza,45.639544,9.278869369225038
Apartment (1 bedroom) in City Centre,710.0,€,500,800,Monza,45.639544,9.278869369225038
Apartment (1 bedroom) Outside of Centre,480.0,€,400,600,Monza,45.639544,9.278869369225038
Apartment (3 bedrooms) in City Centre,1875.0,€,"1,500.00","2,500.00",Monza,45.639544,9.278869369225038
Apartment (3 bedrooms) Outside of Centre,1070.0,€,750,"2,000.00",Monza,45.639544,9.278869369225038
Price per Square Feet to Buy Apartment in City Centre,336.77,€,278.71,464.51,Monza,45.639544,9.278869369225038
Price per Square Feet to Buy Apartment Outside of Centre,185.8,€,185.8,232.26,Monza,45.639544,9.278869369225038
Average Monthly Net Salary (After Tax),1986.3,€,,,Monza,45.639544,9.278869369225038
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.12,,1.28,4.9,Monza,45.639544,9.278869369225038
"Meal, Inexpensive Restaurant",12.5,€,10,15,Monticchiello,43.0682346,11.7255878
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,60,90,Monticchiello,43.0682346,11.7255878
McMeal at McDonalds (or Equivalent Combo Meal),10.0,€,10,10,Monticchiello,43.0682346,11.7255878
Domestic Beer (1 pint draught),4.5,€,3,6,Monticchiello,43.0682346,11.7255878
Imported Beer (12 oz small bottle),4.0,€,3.5,4.5,Monticchiello,43.0682346,11.7255878
Cappuccino (regular),1.7,€,1.5,1.9,Monticchiello,43.0682346,11.7255878
Coke/Pepsi (12 oz small bottle),2.67,€,2,3.5,Monticchiello,43.0682346,11.7255878
Water (12 oz small bottle),1.17,€,1,1.5,Monticchiello,43.0682346,11.7255878
"Milk (regular), (1 gallon)",6.34,€,3.03,7.19,Monticchiello,43.0682346,11.7255878
Loaf of Fresh White Bread (1 lb),1.68,€,1.36,2,Monticchiello,43.0682346,11.7255878
"Rice (white), (1 lb)",1.81,€,1.36,2.27,Monticchiello,43.0682346,11.7255878
Eggs (regular) (12),3.33,€,2,4,Monticchiello,43.0682346,11.7255878
Local Cheese (1 lb),20.41,€,20.41,20.41,Monticchiello,43.0682346,11.7255878
Chicken Fillets (1 lb),5.75,€,4.08,8.16,Monticchiello,43.0682346,11.7255878
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),16.78,€,16.78,16.78,Monticchiello,43.0682346,11.7255878
Apples (1 lb),0.91,€,0.68,1.13,Monticchiello,43.0682346,11.7255878
Banana (1 lb),1.13,€,0.91,1.59,Monticchiello,43.0682346,11.7255878
Oranges (1 lb),1.25,€,0.68,1.81,Monticchiello,43.0682346,11.7255878
Tomato (1 lb),1.4,€,1,1.81,Monticchiello,43.0682346,11.7255878
Potato (1 lb),0.88,€,0.64,1.13,Monticchiello,43.0682346,11.7255878
Onion (1 lb),1.81,€,1.81,1.81,Monticchiello,43.0682346,11.7255878
Lettuce (1 head),2.5,€,2.5,2.5,Monticchiello,43.0682346,11.7255878
Water (1.5 liter bottle),0.4,€,0.4,0.4,Monticchiello,43.0682346,11.7255878
Bottle of Wine (Mid-Range),7.0,€,7,7,Monticchiello,43.0682346,11.7255878
Domestic Beer (0.5 liter bottle),2.16,€,1.52,2.8,Monticchiello,43.0682346,11.7255878
Imported Beer (12 oz small bottle),2.2,€,1.4,3,Monticchiello,43.0682346,11.7255878
Cigarettes 20 Pack (Marlboro),6.0,€,6,6,Monticchiello,43.0682346,11.7255878
Gasoline (1 gallon),6.62,€,6.06,7.19,Monticchiello,43.0682346,11.7255878
"Cinema, International Release, 1 Seat",10.0,€,9,10,Monticchiello,43.0682346,11.7255878
1 Pair of Jeans (Levis 501 Or Similar),40.0,€,30,50,Monticchiello,43.0682346,11.7255878
1 Pair of Nike Running Shoes (Mid-Range),80.0,€,80,80,Monticchiello,43.0682346,11.7255878
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.56,,1.2,4.9,Monticchiello,43.0682346,11.7255878
